optionid;date;cp_flag;style;exdate;last_date;open_interest;best_bid;best_offer;volume;strike_price;Mid;Strike
130244610;13.11.2019;C;E;20.12.2019;03.10.2019;1;299,3;305,1;0;2795000;302,2;2795
114281421;13.11.2019;C;E;20.12.2019;11.11.2019;35665;294,5;300,3;0;2800000;297,4;2800
130244611;13.11.2019;C;E;20.12.2019;03.10.2019;2;289,7;295,4;0;2805000;292,55;2805
130244612;13.11.2019;C;E;20.12.2019;10.10.2019;29;284,9;290,6;0;2810000;287,75;2810
130244613;13.11.2019;C;E;20.12.2019;03.10.2019;2;280,1;285,8;0;2815000;282,95;2815
130244614;13.11.2019;C;E;20.12.2019;03.10.2019;4;275,3;280,9;0;2820000;278,1;2820
117935018;13.11.2019;C;E;20.12.2019;13.11.2019;21130;270,5;276,3;271;2825000;273,4;2825
130244615;13.11.2019;C;E;20.12.2019;13.11.2019;12;265,8;271,4;2;2830000;268,6;2830
130244616;13.11.2019;C;E;20.12.2019;28.08.2019;10;261;266,5;0;2835000;263,75;2835
130244617;13.11.2019;C;E;20.12.2019;31.10.2019;18;256,2;261,8;0;2840000;259;2840
130244618;13.11.2019;C;E;20.12.2019;08.10.2019;54;251,5;257;0;2845000;254,25;2845
114281422;13.11.2019;C;E;20.12.2019;13.11.2019;27731;246,7;252,3;4;2850000;249,5;2850
130244619;13.11.2019;C;E;20.12.2019;03.10.2019;57;242;247,4;0;2855000;244,7;2855
130244620;13.11.2019;C;E;20.12.2019;08.11.2019;596;237,3;242,7;0;2860000;240;2860
130244621;13.11.2019;C;E;20.12.2019;29.10.2019;365;232,6;237,9;0;2865000;235,25;2865
130244622;13.11.2019;C;E;20.12.2019;08.11.2019;1058;227,9;233,2;0;2870000;230,55;2870
117935019;13.11.2019;C;E;20.12.2019;07.11.2019;23368;223,2;228,5;0;2875000;225,85;2875
130244623;13.11.2019;C;E;20.12.2019;13.11.2019;4621;218,5;223,7;1;2880000;221,1;2880
130244624;13.11.2019;C;E;20.12.2019;06.11.2019;8693;213,8;219;0;2885000;216,4;2885
130244625;13.11.2019;C;E;20.12.2019;08.11.2019;8878;209,2;214,3;0;2890000;211,75;2890
130244626;13.11.2019;C;E;20.12.2019;31.10.2019;8064;204,6;209,6;0;2895000;207,1;2895
114281423;13.11.2019;C;E;20.12.2019;13.11.2019;48527;200;204,9;1;2900000;202,45;2900
130244627;13.11.2019;C;E;20.12.2019;31.10.2019;10360;195,4;200,2;0;2905000;197,8;2905
130244628;13.11.2019;C;E;20.12.2019;08.11.2019;4927;190,8;195,6;0;2910000;193,2;2910
130244629;13.11.2019;C;E;20.12.2019;06.11.2019;8150;186,3;191,3;0;2915000;188,8;2915
130244630;13.11.2019;C;E;20.12.2019;08.11.2019;6493;181,7;186,7;0;2920000;184,2;2920
118728579;13.11.2019;C;E;20.12.2019;13.11.2019;34152;177,2;182,1;36;2925000;179,65;2925
130244631;13.11.2019;C;E;20.12.2019;11.11.2019;3361;172,7;177,6;0;2930000;175,15;2930
130244632;13.11.2019;C;E;20.12.2019;31.10.2019;9985;168,3;172,8;0;2935000;170,55;2935
130244633;13.11.2019;C;E;20.12.2019;12.11.2019;6324;163,8;168,2;0;2940000;166;2940
130244634;13.11.2019;C;E;20.12.2019;31.10.2019;10291;159,4;163,6;0;2945000;161,5;2945
117935020;13.11.2019;C;E;20.12.2019;13.11.2019;37539;154,9;159,1;18;2950000;157;2950
130244635;13.11.2019;C;E;20.12.2019;11.11.2019;4204;150,5;154,6;0;2955000;152,55;2955
130244636;13.11.2019;C;E;20.12.2019;12.11.2019;5903;146,2;150;0;2960000;148,1;2960
130244637;13.11.2019;C;E;20.12.2019;12.11.2019;13096;141,8;145,6;0;2965000;143,7;2965
130244638;13.11.2019;C;E;20.12.2019;12.11.2019;14097;137,5;141,2;0;2970000;139,35;2970
118728580;13.11.2019;C;E;20.12.2019;13.11.2019;43330;133,2;137;6;2975000;135,1;2975
130244639;13.11.2019;C;E;20.12.2019;13.11.2019;13222;128,9;132,6;4;2980000;130,75;2980
130244640;13.11.2019;C;E;20.12.2019;13.11.2019;15060;124,7;128,2;5;2985000;126,45;2985
130244641;13.11.2019;C;E;20.12.2019;13.11.2019;20393;120,5;123,8;800;2990000;122,15;2990
130244642;13.11.2019;C;E;20.12.2019;11.11.2019;17503;116,3;119,6;0;2995000;117,95;2995
114281424;13.11.2019;C;E;20.12.2019;13.11.2019;169;2784,3;2790,9;2;300000;2787,6;300
114281425;13.11.2019;C;E;20.12.2019;13.11.2019;116564;112,1;115,3;2164;3000000;113,7;3000
130244643;13.11.2019;C;E;20.12.2019;13.11.2019;17584;109,3;109,9;1091;3005000;109,6;3005
130244644;13.11.2019;C;E;20.12.2019;13.11.2019;18989;105,1;105,7;16;3010000;105,4;3010
130244645;13.11.2019;C;E;20.12.2019;11.11.2019;13118;101;101,6;0;3015000;101,3;3015
130244646;13.11.2019;C;E;20.12.2019;13.11.2019;19980;97;97,6;3;3020000;97,3;3020
118940210;13.11.2019;C;E;20.12.2019;13.11.2019;43902;92,9;93,5;97;3025000;93,2;3025
130244647;13.11.2019;C;E;20.12.2019;13.11.2019;8159;88,9;89,5;84;3030000;89,2;3030
130244648;13.11.2019;C;E;20.12.2019;13.11.2019;8830;85;85,6;42;3035000;85,3;3035
130244649;13.11.2019;C;E;20.12.2019;13.11.2019;14778;81,1;81,7;144;3040000;81,4;3040
130244650;13.11.2019;C;E;20.12.2019;13.11.2019;7182;77,2;77,8;85;3045000;77,5;3045
118728581;13.11.2019;C;E;20.12.2019;13.11.2019;54520;73,5;74;127;3050000;73,75;3050
130244651;13.11.2019;C;E;20.12.2019;13.11.2019;3813;69,7;70,3;83;3055000;70;3055
130244652;13.11.2019;C;E;20.12.2019;13.11.2019;8619;66,1;66,6;1;3060000;66,35;3060
130244653;13.11.2019;C;E;20.12.2019;13.11.2019;3145;62,5;63;6;3065000;62,75;3065
130244654;13.11.2019;C;E;20.12.2019;13.11.2019;10180;59;59,5;11;3070000;59,25;3070
118940211;13.11.2019;C;E;20.12.2019;13.11.2019;54005;55,5;56,1;9312;3075000;55,8;3075
